ID,Person or Animal,Place or object,Action,Hard,Mix,,
ID,Pessoa ou animal,Lugar ou objeto,Ação ,Difícil,Diversos,,
Card 1,Jeová,Vestes Sagradas,Lembrar do Erro,Julgamentos,Transfiguração,,
Card 2,Bode,Pregos,Lavar,Pérgamo,Pepino,,
Card 3,Mosquitos,Despertai!,Prestar atenção,Estrada para Emaús,Begônia,,
Card 4,Josué,Anuário,Batizar,Lâmpada a Óleo,Ônix,,
Card 5,Manada de Porcos,Lança,Oprimir,Deuteronômio,Espinheiro (Espinho),,
Card 6,Timóteo,Fenícia,Cozinhar,Pedra de Léshem,Linho,,
Card 7,Urso,Azeite de Oliva,Saber que Jeová é Deus,Altar de Incenso,Rei Jabim,,
Card 8,Eva,Coroa,Envergonhar,Jope,Selá (Salmos),,
Card 9,Mateus,Ouro,Olhar,Rei Humilde,Saulo de Tarso,,
Card 10,Cavalo,Moinho,Virar,Astorete,Simeão,,
Card 11,Samuel,Escada,Jurar,Jafé,Força,,
Card 12,Ester,Flechas,Perdoar,Salmo de Davi,Mostarda,,
Card 13,Caim,Bastão,Perseguir,Jeozadaque,Inveja,,
Card 14,Ninrode,Arca,Entrar,Lutas Romanas,Abertura do Mar Vermelho,,
Card 15,Daniel,a Sentinela,Abandonar o Egito,Teimosia,Sensibilidade,,
Card 16,Jeremias,Listra,Anseiar,Bete-Semes,Praga dos Borrachudos,,
Card 17,Águia,Trombetas,Dirigir,Icônio,Pérola,,
Card 18,Leopardo,Fio Escarlate,Espalhar,Jeú (Filho de Hanani),Confiança,,
Card 19,Raposa,Escrituras Hebraicas,Profetizar,Jaaziel,Camelo,,
Card 20,Querubins,Peitoral,Fornecer,Aijá,Giesta-das-Vassouras,,
Card 21,Zadoque,Uvas,Inaugurar,Bartolomeu (Natanael),Copos de Ouro,,
Card 22,Isaías,Samaria,Abandonar,Hofni e Fineias,Hissopo,,
Card 23,Veado,Sal,Tornar-Se,Menta,Espinheiro-de-Casca-Branca,,
Card 24,Pombo,Alicerce,Vir,Derbe,Amor,,
Card 25,Salomé,Pena,Mentir,Cortina do Santo,Cântico de Salomão,,
Card 26,Rute,Éfeso,Visitar Betel,Trôade,Empatia,,
Card 27,Cã,Entenda a Bíblia! (Livro),Lançar,Belém Efrata,Língua,,
Card 28,Pomba,Tribuna,Agitar,Selêucia,"Alexandre, O Grande",,
Card 29,Débora,Santíssimo,Ouvir,Nabucodorosor,Coelho,,
Card 30,Nabucodonosor,Palácio,Saber,Mileto,Coragem,,
Card 31,Juízes,Cesta,Decepar,Corazim,Instrumentos de Cordas,,
Card 32,Jonas,Lenha,Pôr Ganchos,Monte Moriá,Calcedônia,,
Card 33,Dalila,Portas,Cantar Louvores,Nova Jerusalém,Felicidade,,
Card 34,Cervo,Escudo,Meditar,Urim e Tumim,Arroz,,
Card 35,Touro,Candelabro,Caçar,Laquis,Ira,,
Card 36,Diná,Bolsa,Desejar,Verdade,Veste Comprida,,
Card 37,Siquém,Madeiro,Vencer Objeção,Hanani,Desespero,,
Card 38,Gazela,Gibeão,Preparar,Harã,Abrolhos,,
Card 39,Jacó,Sandálias,Reinar,Novilho,Safira,,
Card 40,André,Cajado,Voltar,Fidelidade,Topázio,,
Card 41,Herodes,Jerusalém,Pregar,Milhafre,Bondade,,
Card 42,Raabe,Túnica,Pagar,Armas da Luz,Mesaque,,
Card 43,Raquel,Casa de Israel,Dizer,Hazor,Milho,,
Card 44,Sete,Apostila Vida e Ministério,Rebelar,Miqueias,Esmeralda,,
Card 45,Maria Madalena,Cálice,Julgar,Obadias,Selo Real,,
Card 46,Encarregado da Casa,Alexandria,Dar de Coração,Sardes,Hibisco,,
Card 47,Manoá,Nazaré,Se Erguer,Abednego,Cabaceiro,,
Card 48,Cabrito,Panela,Chamar,Beemote,70 Semanas,,
Card 49,Cornélio,Toalha,Lembrar,Laodicéia,Compaixão,,
Card 50,Leviatã,Moeda,Terminar,Ido,Cabelo de Sansão,,
Card 51,Menina Israelita,Arado,Herdar,Jeoiada,Mar da Galileia,,
Card 52,Anjo Gabriel,Belém,Transbordar,Chipre,Dario,,
Card 53,Jesus Cristo,Jardim de Getsemâni,Orar,Nome,Jacinto,,
Card 54,Ezequiel,Casa,Rebelar contra Jeová,Naftali,Cristal de Quartzo,,
Card 55,Eliseu,Joias,Descansar,Muralhas de Jericó,Rei da Pérsia,,
Card 56,Sansão,Palco,Revestir,Cervos,Crisólito,,
Card 57,Bois,Mão Direita,Sonhar,Calções de Linho,Praga dos Gafanhotos,,
Card 58,Cão,Bacia de Cobre,Aproximar,Zoar,Alegria,,
Card 59,Esaú,Tessalônica,Convocar,Salém,Anjo Mensageiro,,
Card 60,José de Arimateia ,Armadura,Governar,Monte Nebo,Jaspe,,
Card 61,Serpente,Capacete,Cumprir os Decretos,"Babilônia, a Grande",Sárdio,,
Card 62,Jeú,Fruto de Lábios,Curar,Berseba,Jardim de Getsêmani,,
Card 63,Escorpião,Harpa,Expulsar,Ur,Cântico,,
Card 64,"Tiago, Irmão de João",Palha,Executar Julgamento,Amós,Culpa,,
Card 65,Fineias,Estrela,Trabalhar,Baldio Desolado,Arruda,,
Card 66,Rebeca,Damasco,Cair,Grande Saque,Incenso Perfumado,,
Card 67,Oseias,Lâmpada,Apanhar,Mênfis,Hananias (Profeta),,
Card 68,Salomão,Tábua de Cedro,Declarar,Chifre do Altar,Brandura,,
Card 69,Nicodemos,Pele de Foca,Residir,Anfiteatro,Diamante,,
Card 70,Animal Impuro ,Santo (Templo),Agradecer,Baraque,Atenas,,
Card 71,Animal Puro,Flauta,Pegar,Mene Mene Tequel Parsim,Cevada,,
Card 72,Jezabel,Tarso,Profetizar Contra,Abadon (O Anjo do Abismo),Lírio Vermelho,,
Card 73,Damas,Sodoma,Desobedecer,Correntinhas de Ouro,Lírio,,
Card 74,Copista,Copo (de Prata),Libertar,Exultação,Paciência ,,
Card 75,Metusalém ,Videira,Fazer Cair,Compartimento Interno,Espinafre,,
Card 76,Leia,Muralha,Entalhar,Suporte,Lamentações,,
Card 77,Peixe Grande,Espelho,Guiar,Silas,Bode Para Azazel,,
Card 78,Faraó,Pergaminhos,Não Ser Habitada,Perge,Chá,,
Card 79,Pardal,Babel,Guardar os Mandamentos,Odede (Judá),Terra,,
Card 80,Zaqueu,Cesareia,Viver,Cronista,Pânico,,
Card 81,Gafanhoto,Podadeiras,Louvar,Eleazar,Santidade,,
Card 82,Acã,Cafarnaum,Compor,Carquemis,Saudades de Casa,,
Card 83,Calebe,Pandeiro,Ressuscitar,Pátio dos Gentios,Admiração,,
Card 84,Cristo,Sinagoga,Inclinar,Som,Junco,,
Card 85,Bezerro,Cadeia,Curvar-Se,Golã,Números (Livro),,
Card 86,Galo,Israel,Enganar,Mesopotâmia,Estátua de Nabucodonosor,,
Card 87,Abigail,Grécia (Antiga),Entregar como Alimento,Gazelas,Alfafa,,
Card 88,Adão,Lã Roxa,Criar,Ramos de Palmeira,Aser,,
Card 89,Jonatã,Estabulo,Prender,Supremo Tribunal,Ansiedade,,
Card 90,José,Janela,Insultar,Mandamentos,Tribunal,,
Card 91,Maria (Mãe de Jesus),Linho Fino,Agradar a Jeová,Sarai,Faixa,,
Card 92,Serva Rode,Tenda,Adorar,Itamar,Paz,,
Card 93,Priscila,Romãs,Procurar,Azeite,Santo (Qualidade),,
Card 94,a Filha de Jefté,Trombeta,Escolher,Hulda,Flores no Bastão de Arão,,
Card 95,Mula,Babilônia,Livrar da Opressão,Serpente de Cobre,Cacto,,
Card 96,Lídia,Monte Sinai,Pensar,Reino de Deus,Toque de Trombeta,,
Card 97,Ananias e Safira,Filipos,Dar,Pífaro,Alho,,
Card 98,Natã,Arca de Noé,Assassinar,Pacto do Reino,Trigo,,
Card 99,Víbora,Corda,Ser Generoso,Jael,Colossos,,it-1 290; it-2 1222
Card 100,Noemi,Pele de Camelo,Clamar,Sídon,Nardo,,w23.11 14-17; it-2 1222; jd 26-27; si 169
Card 101,Homem,Vigas,Festejar,Abismo,Sadraque,,it-2 1221-1222
Card 102,Joaquim,Cavalos,Reunir,Tábuas da Lei,Celebração,,
Card 103,Levi,Rede de Arrasto,Causar,Belsazar,Amizade,,
Card 104,Ciro,Galileia,Preocupar com o Amanhã,Dã,Orquídeas,,
Card 105,Hamã,Torre (de Babel),Afastar,Silo,Prisão,,
Card 106,Chefe do Exército,Presente,Falar,"Tadeu (Judas, Filho de Tiago)",Justiça,,
Card 107,Anticristo,Foice,Pedir,Betsaida,Ametista,,
Card 108,Mordecai,Roupas,Avançar,Pacto Davídico,Gilgal,,
Card 109,Boi,Mesa,Proteger a Menina do Olho,Ramá,Soberano,,
Card 110,Ana (Mãe de Samuel),Vinho,Apressar,Felizes os Irrepreensíveis,Zebulão,,
Card 111,Companheiro,Pão,Brilhar,Nínive,Praga dos Moscões,,
Card 112,Miguel,Lábios,Amar,Tiago (Filho de Alfeu),Ásia Menor,,
Card 113,Geazi,Barco,Ele Faz Com Que Venha a Ser,Mostarda Brava,Escuridão,,
Card 114,Tomé,Egito,Revisitar,Epafrodito,Turmalina,,
Card 115,Eli,Couraça da Justiça,Esmagar,Prata,Frustração,,
Card 116,Formiga,Tenda de Reunião,Estudo Pessoal,"Tiago, Irmão de Jesus",Cenoura,,
Card 117,Jumenta,Âncora,Lutar,Ilha de Patmos,Estevão,,
Card 118,Rubem,Almofada,Acreditar,Levítico,Vaso de Cerâmica,,
Card 119,Naamã,Monte das Oliveiras,Meditar Profundamente,Êxodo,Alho-Porro,,
Card 120,Rei Assuero,Arco e Flecha,Pregar As Boas Novas,Hébron,Serpentes Venenosas,,
Card 121,Sacerdote,Carvão,Ensinar,Madeira de Acácia,Rei da Média,,
Card 122,Cabra,Areia,Construir Casas,Salvação,Pedras Lavradas,,
Card 123,Malaquias,Barril,Cair Sobre,Praça de Ápio,Melancia,,
Card 124,Benjamim,Habacuque,Andar,Cades,Coros de Farinha,,
Card 125,Zedequias,Salão de Assembleia,Odiar,Esmirna,Ciúme,,
Card 126,Gado,Cetro,Dar Meia-Volta,Carvalho,Calçado das Boas Novas,,
Card 127,Filipe,Machado,Arrepender-Se,Eclesiastes,Imperador Romano,,
Card 128,Corvo,Pote de Barro,Exercer Fé,Megido,Injustiça,,
Card 129,Josias,Santuário,Receber a Palavra de Jeová,Hilquias,Ternura,,
Card 130,Leão da Tribo de Judá,Manto,Confiar,Fortaleza de Susã,Inutilidade,,
Card 131,Leão,Reunião,Perseverar,Apolion (O Anjo do Abismo),Humildade,,
Card 132,Simão,Rede de Pesca,Guardar,Tartaro,Cintura,,
Card 133,Descendente da Mulher,Geena,Matar,Seraías,Açafrão,,
Card 134,Ló,Jericó,Plantar,Gade,Orgulho,,
Card 135,Sem,Cidade,Salvar,Rio Jordão,Agrião,,
Card 136,Joana,Figueira,Menosprezar,Filemom,Fé,,
Card 137,Marta,Moabe,Violar,Advertências,Erva-Doce,,
Card 138,Judá,Midiã,Ser Salvo,Reino de 10 Tribos,Aloés,,
Card 139,Azarias,Trono,Alegrar-Se,Patmos,Cálamo,,
Card 140,Saul,Galiléia,Cavalgar,Livro das Crônicas,Gênesis,,
Card 141,Davi,Jardim do Éden,Desviar,Patterson (Escola de Gileade),Margarida Africana,,
Card 142,Zacarias (Pai de João Batista),Céu,Pegar os Peixes,Monte Carmelo,Bambu,,
Card 143,Noé,Lentilha Vermelha,Acender,Mirra,Bactéria,,
Card 144,Lapidador,Túnica Sem Mangas,Cortar,Provérbios,Cebola,,
Card 145,Jeosafá,Cinto,Realizar,Infidelidade,Carros de Guerra,,
Card 146,Cães,Escrituras Gregas,Acatar,Fazer Brotar,Dente-De-Leão,,
Card 147,Ovelha,Vela,Supervisionar,Agar,Papiro,,
Card 148,Enoque,Cadeira,Esquecer,Descendente da Serpente,Querubim,,
Card 149,Pássaros,Espada,Cantar,Hamate,Obediência,,
Card 150,Ageu,Canaã,Dirigir Estudo Bíblico,Manter Firme,Bondade ,,
Card 151,Abrão e Sarai,Ombreiras,Oferecer Sacríficio,Fotodrama da Criação,Maldade,,
Card 152,João Batista,Deserto,Ser Inspirado,Opala,Centeio,,
Card 153,Jumento,Bíblia,Perfurar,Micaías,Medo,,
Card 154,Gideão,Conhecimento (Livro),Agir Com Sabedoria,Tadeu,Congresso,,
Card 155,Isaque,Sino,Construir,Estátua do Nabucodonosor,Lâmina Brilhante de Ouro Puro,,
Card 156,a Palavra,Salão do Reino,Tomar,Issacar,Hortelã,,
Card 157,"Ana, a Profetisa",Rio,Manter,Pacto Abraâmico,Turquesa,,
Card 158,Baal,Despojo,Beber,Beltessazar,Algodão,,
Card 159,Construtores,Franja da Veste,Fixar a Face,Sumosacerdote Caifás,Aveia,,
Card 160,João,Pedra,Apeguar,Salamina,Dez Mandamentos,,
Card 161,Vaca,Betânia,Abençoar,Ramsés,Bezerro de Ouro,,
Card 162,Arão,Turbante,Apresentar ,Sidom,Artaxerxes,,
Card 163,Carneiro,Fornalha,Colocar,Aijalom,Incerteza,,
Card 164,Moisés,Tinta,Morar,30 Moedas de Prata,Altar,,
Card 165,Sifrá e Puá,Efraim,Brotar,Naum,Ódio,,
Card 166,Emanuel,Vestimenta,Pôr a Mão,Aspenaz,Rubi,,
Card 167,Bate-Seba,Pão e Vinho,Cumprir,Abiatar,Sísera,,
Card 168,Cantores (Fihos de Corá),Judeia,Carregar,Aflição,Autodomínio,,
Card 169,Esdras,Tapete,Trazer,Abutre,Assembleia,,
Card 170,Abel,Figos,Reunir os Egípcios,Cilícia,Angústia,,
Card 171,Neemias,Tradução do Novo Mundo,Desprezar,Vaso de Óleo,Mágoa,,
Card 172,Misael,Faca,Cumprimentar,Sofonias,Boaz,,
Card 173,Elisabete,Óleo,Enviar,Ziclague,Sardônio,,
Card 174,Pedro,Ovelhas,Louvar Com Cântico,Sumo Sacerdote Hilquias,Ágata,,
Card 175,Tamar,Anatote,Arrancar,Eúde,Natanael,,
Card 176,Herodes Agripa,Cesaréia,Louvar a Jeová,Ágabo,Éfode,,
Card 177,Gaivota,Betel,Examinar,Decápolis (Dez Cidades),Resina Bdélio,,
Card 178,Apóstata,Maná,Comer,Brasas Acesas,Ezequias,,
Card 179,Miriã,Mar Vermelho,Ficar,Anfípolis,Depressão,,
Card 180,Jesus,Paraíso,Mostrar,Jezreel,Ervas,,
Card 181,Judá ,Anel,Prever,Filadélfia,Serafim,,
Card 182,João (Apósotolo),Gileade,Buscar,Abiú,Rosa,,
Card 183,Messias,Tiro,Escutar,Malta,Cássia,,
Card 184,"João, O Batizador",Cedro,Passar Por Aflição,Tiatira,Arca do Pacto,,
Card 185,Naja,Templo,Obedecer À Jeová,Tribunal de Justiça,Benignidade,,
Card 186,Abraão,Seja Feliz Para Sempre (Livro),Resistir,Terceito Céu,Lentilha,,
Card 187,Cordeiro,Cobre (Material),Dominar,Sumo Sacerdote Eli,Insegurança,,
Card 188,Porco,Creta,Saciar,Joanã ,Arcanjo,,
Card 189,Sara,Tabernáculo,Interpretar,Escudo da Fé,Mar do Norte,,
Card 190,Balaão,Linha Azul,Extrair,Livro da Lei,Entusiasmo,,
Card 191,Elizabete,Aldeia,Obedecer,Eliasibe,Pavor,,
Card 192,Ouvido,Pátio Interno,Ungir,"Simão, O Zeloso",Amor Leal,,
Card 193,Ana,Muro,Executar,Pentateuco,Jade,,
Card 194,Pilatos,Reino,Quebrar,Roma,Arco-Íris,,
Card 195,Povo,Correntes,Irar,Pedra de Ônix,Alcaparra,,
Card 196,Jefté,Ministério do Reino,Morar Em Segurança,Óleo da Unção,Alface,,
Card 197,Dragão,Gaza,Ver,Zacarias (Filho de Jeoiada),Vitória,,
Card 198,Golias,Corinto,Cingir,Melquisedeque,Mandrágora,,
Card 199,Acabe,Gomorra,Escravizar,Joel,Solidão,,
Card 200,Príncipe,Martelo,Encantar-Se,Ilha de Creta,Favor,,
Card 201,Judas Iscariotes,Barraca,Esconder,Coliseu,Absinto,,
Card 202,Rei,Coração,Proteger,Antioquia,Lei,,
Card 203,Elias,Cova dos Leões,Fugir,Címbalo,Luz,,
Card 204,Elefante,Odre,Consolar,Escola de Gileade (Patterson),Estudar Profecias,,
